X,Y
19.83046,11.961074
8.110052,6.3214145
-5.555776,12.814386
10.214311,10.054321
-6.0073633,10.923298
1.1978045,8.141905
8.986328,3.7957807
9.376077,5.097871
-7.596631,8.877512
-6.355792,6.426347
-5.7226477,11.170143
-0.16201405,9.558533
-5.753832,10.831561
-3.9009628,9.525128
1.7471479,-5.4395337
6.1089005,9.87216
-1.5952785,8.4645605
2.8309608,-6.0165076
4.2884088,-2.4307954
6.7549586,1.2667774
16.613409,7.1243267
1.2936332,-6.0646343
6.515002,0.4914123
3.5013735,-6.527532
13.29608,6.596573
2.926966,-4.657454
9.211725,7.4852133
-1.486825,9.122146
11.83735,7.412667
5.2323303,-5.0543756
5.0856724,-3.6923087
-5.8405223,7.2226715
-1.9674579,4.7414303
16.496908,7.4804807
3.5478327,5.3968086
0.26893005,10.446222
6.032343,-0.52294564
2.0872314,-4.4237137
3.5162463,-6.794556
4.86511,-6.3009644
20.429092,11.693411
5.6275077,7.901889
6.3506193,-1.0631596
12.168136,4.8720512
-0.27253875,7.700927
17.12771,8.464611
8.870907,8.156576
19.706547,12.017586
2.1517572,-2.7473938
6.747117,5.3484664
6.795736,7.304049
2.6262488,-4.427917
7.253838,4.030528
18.744522,8.910146
12.456096,9.201712
-3.1275873,7.737829
-2.7349212,9.040921
6.178353,5.1812425
3.442189,-5.202179
-5.563768,5.5771203
-3.106676,7.830535
-2.773466,14.160368
6.483426,-0.54047495
9.265822,10.029115
1.2552395,7.25406
7.6992364,8.087573
6.0999126,7.5188003
5.197332,-4.380818
5.544972,-0.7246421
-1.9658337,9.603176
7.9684286,7.3479486
10.616367,6.258024
17.597136,8.166697
-1.0509815,7.7468343
6.160063,8.325388
6.3422976,3.9296174
5.303717,6.852579
10.898343,10.08741
20.468872,11.756096
14.621268,8.278091
2.63836,5.4196267
-1.4523783,11.54981
-2.8399491,7.645196
1.9400858,-5.103232
2.1430047,-5.3738775
6.5602202,6.5271063
-5.850849,11.917217
8.539062,8.649041
20.85357,11.887143
5.4082475,-1.4988773
5.5793133,6.928251
2.9177775,9.641794
-3.036938,7.035388
1.9381682,-6.0184474
-6.7690473,9.354419
2.3035157,-2.6396086
8.502955,4.1126733
4.9206543,-4.305819
9.731339,9.509318
4.084131,-6.672119
2.7739768,6.8251896
8.810978,9.285329
3.596374,-6.121858
5.824607,-0.13654318
6.062579,9.0363655
9.94966,5.329983
-3.9314969,8.222568
19.35682,10.992368
10.510125,10.044483
-0.7498693,5.1088967
6.1125565,9.96734
-1.3174844,10.927643
12.8293,5.0320783
-8.096119,9.530019
5.1874185,-4.3500896
12.676697,5.8213367
-1.267105,6.400138
10.287376,4.2872787
6.6117926,0.8709899
1.4822208,10.465918
-6.1262054,6.8983393
7.261036,9.32022
10.73847,6.783972
-4.1744537,8.696029
7.37105,5.8112454
3.2074711,-5.811362
4.061283,-1.5534639
4.6617537,-2.057767
4.489477,-5.4000487
13.118648,5.644234
-1.771441,9.13195
-4.7782965,14.125851
1.7469616,-5.740837
12.501053,7.5093307
12.3431635,7.7076044
11.891678,7.532341
20.289457,12.381333
2.4374967,-6.2963176
-4.214124,10.153965
4.550414,-2.1861596
10.120919,6.5013022
-4.6031313,13.199223
15.628764,8.38015
-5.42756,5.866251
1.4167957,-6.0429254
0.49197078,-5.066344
13.970597,6.254838
4.4353085,-5.8379164
7.379035,6.7628913
3.0440738,-4.644871
1.4503578,-5.0778146
2.1237133,-6.0705433
-6.333181,9.232416
3.6663244,-3.891204
12.177174,9.293386
3.3740518,-3.598748
1.1454906,6.4703345
20.44905,12.091683
5.776569,7.571006
11.3241005,10.024531
0.6714791,-6.050304
-1.7369698,8.507158
-0.5001657,11.585763
-3.0715125,7.1425586
4.153139,6.756313
12.94388,9.427199
1.5921636,-3.2805166
7.1335006,9.986941
0.6431037,8.547541
8.264184,8.247099
12.399053,5.3513503
1.6885344,-3.7852616
1.5204985,-4.8431
1.9921818,-3.0652237
4.453647,-6.6954327
4.544268,-2.60242
6.298078,7.680722
15.181727,6.814809
3.056475,8.832731
13.459049,8.279082
10.909412,8.12758
17.201246,9.125114
6.5259776,0.6755242
20.056206,12.076685
5.022484,-3.0733252
10.262837,6.1215377
13.703829,6.8318057
15.934462,8.471977
0.18039095,5.4942694
6.053291,5.210011
2.1069226,7.607513
-6.1467133,10.937759
2.7863588,-3.124972
5.7800817,-0.32263428
8.279948,9.4359
7.3379726,7.9278274
15.750465,6.948045
8.347739,5.329285
12.030832,6.37194
-5.228827,10.703537
2.3279982,5.4511514
6.2848206,5.0797224
11.270432,4.25039
3.464746,8.562716
8.714621,6.1519494
4.163463,-4.5513024
17.37478,8.87308
6.697403,2.3242798
4.070228,-2.8196435
4.8511815,-3.4236753
7.343853,5.014881
2.931817,8.288376
-3.327064,7.3049736
7.572412,8.225753
4.3198824,8.901484
10.520637,8.778817
-4.628372,9.931266
18.365059,9.305326
4.111566,-5.2605715
13.173893,9.240749
-4.033943,7.91271
12.632241,9.638611
-5.7028766,8.9733925
1.7614172,-3.6433938
-6.552052,9.724973
19.309431,8.8130045
0.87690854,9.340579
-0.9668135,11.274209
-1.5978734,6.456375
2.1609924,5.4645705
9.957533,4.6234
11.582163,5.794098
2.6599777,9.430517
0.44594783,-5.3315263
10.433172,6.3189387
0.5580101,-5.6623893
-1.4783995,8.063607
-1.4787118,12.332845
0.8454881,-4.6701903
-1.4724139,5.269086
6.0561013,0.22675802
3.837655,5.830676
4.436132,-4.3726163
5.293549,4.751959
6.8193574,3.7487295
12.25508,9.320759
5.998616,-1.0482786
-0.69748056,5.1118593
10.063623,7.0433164
11.555832,8.197769
3.5248628,-4.0006514
1.5857639,-2.9753537
-1.9623829,4.5945296
-2.3200212,4.7054434
2.3087237,-6.617507
-4.635404,6.3645005
1.2816199,-6.4257445
-3.20863,7.118215
2.8786783,-6.248867
2.251036,-2.79002
2.8756545,-2.0496075
13.534513,6.405402
-5.626597,6.9716988
0.33030316,10.053197
14.653609,7.160582
-1.4524063,9.49856
7.43481,9.932118
2.7597673,-4.4216185
18.685232,8.759686
0.48311856,-5.420854
12.912719,8.175671
5.715342,8.298508
19.546648,11.647668
6.916687,8.475306
2.9670682,6.8585954
3.449884,-4.765368
12.941437,6.432762
4.149918,-6.6528816
1.4626645,-4.460057
-2.3254766,9.011455
11.341015,5.3551617
8.227256,4.224167
-4.997386,10.578618
19.653133,9.376811
20.501822,11.393904
1.1825179,7.963202
15.291091,6.277826
10.274982,6.249912
8.3042145,4.7570386
9.202649,5.626964
10.465638,5.1390085
20.464941,13.059203
12.488951,9.421622
-3.2028332,12.687626
3.870563,-3.6390586
3.233268,-6.626202
1.7032965,9.99262
10.923594,7.710593
-2.2828007,6.334763
-7.0132375,9.416288
3.1511528,-3.6391032
16.4434,8.268772
2.719071,-2.0439048
8.547138,7.7579236
9.616745,6.9680624
-7.0745745,9.331668
5.2432733,7.1249456
-2.4319808,12.706005
-2.7708209,13.503946
0.8497204,11.046764
-4.352394,10.277762
9.223231,4.1178846
6.880332,1.3865772
3.172119,9.33074
6.3870435,5.290858
1.6170684,-3.8440437
1.3808588,-5.669415
16.635525,9.009134
5.4369392,6.7514215
11.0288515,6.6112423
2.6546905,-5.546706
4.690935,-6.431026
1.7559657,-6.2576017
1.4650769,-3.5858262
